ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Part_Of_Speech,Text_ID,Sentence_Number,Phrase_Number,Language_ID,Clitic_ID,begin-time-offset,cf_kit,end-time-offset,gls_en_phrase,gls_en_word,gls_kit_phrase,guid,hn_kit,lit_en_phrase,media-file,msa_en,pos_en_word,segnum_en_phrase,txt_en_phrase,txt_kit_phrase,variantTypes_en
se-ss044-kangge2016a-1,[ Introduction],introduction,,"Today is September 1, and this is Biku singing a song he wrote about cleaning the waterways for canoes. And it's called",,se-ss044-kangge2016a,1,,kit,,0,,10967,"Today is September 1, and this is Biku singing a song he wrote about cleaning the waterways for canoes. And it's called",,,13258ab4-98b6-4823-bade-c8153a849355,,,2dce139b-5200-49b9-b84f-d775d20dc00a,,,1,,[Introduction],
se-ss044-kangge2016a-2,ngase nga utamom llabo ngase nga utamom.,ngase	nga	uta-mom	lla=bo	ngase	nga	uta-mom,HORT	IM_FUT	go.IMP-FUT.2PLS	person=3SG.POSS	HORT	IM_FUT	go.IMP-FUT.2PLS,"Let's go people, let's go.",TAM ptcl.	TAM ptcl.	vi.	n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.,se-ss044-kangge2016a,2,,kit,,10967,ngase	nga	uta-mom	lla=bo	ngase	nga	uta-mom,15675,"Let's go people, let's go.",let us	imminently	go.fut.2plS	person=3.sg.poss		let us	imminently	go.fut.2plS,,dbbe612a-92f8-41cf-acf0-fa9938c1b45c,,,2dce139b-5200-49b9-b84f-d775d20dc00a,TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent,TAM ptcl.	TAM ptcl.	vi.	n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.,2,,ngase nga utamom llabo ngase nga utamom.,
se-ss044-kangge2016a-3,...,,,,,se-ss044-kangge2016a,3,,kit,,15675,,23525,,,,47333cf6-c29c-40df-82cc-0057b846b6ce,,,2dce139b-5200-49b9-b84f-d775d20dc00a,,,3,,...,
se-ss044-kangge2016a-4,Llabo ngase nga utamom ngase nga uta Karama melem ttamänmeny dan.,lla=bo	ngase	nga	uta-mom	ngase	nga	uta	Karama	melem	ttamän=meny	da=n,person=3SG.POSS	HORT	IM_FUT	go.IMP-FUT.2PLS	HORT	IM_FUT	go.IMP	toponym	work	finish=PRIV	MED.DEM=COP.PRS.SG,"Let's go people, swamp work isn't finished. [Ngasenga = let's]",n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.	TAM ptcl.	TAM ptcl.	v.	pn.	n.	adj.	n. cl.	cop.	v. cl.,se-ss044-kangge2016a,4,,kit,,23525,lla=bo	ngase	nga	uta-mom	ngase	nga	uta	Karama	melem	ttamän=meny	da=n,30525,"Let's go people, swamp work isn't finished. [Ngasenga = let's]",person=3.sg.poss		let us	imminently	go.fut.2plS	let us	imminently	go.fut.2sgS	Karama	work	finish-priv		cop.prs.sgS	,,1cb266b2-eed3-4a91-9b4b-ec9804c63eb7,												4	,,2dce139b-5200-49b9-b84f-d775d20dc00a,n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	TAM ptcl.	TAM ptcl.	vi.	pn.	n.	vt.  (irr)	n. cl.	nom. dem.	v. cl.,n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.	TAM ptcl.	TAM ptcl.	v.	pn.	n.	adj.	n. cl.	cop.	v. cl.,4,,Llabo ngase nga utamom ngase nga uta Karama melem ttamänmeny dan.,
se-ss044-kangge2016a-5,Llimoll ngase nga utamom iba Parade llätt e bamllameya.,Llimoll	ngase	nga	uta-mom	iba	Parade	llätt=e	b-a-mllam-eya,toponym	HORT	IM_FUT	go.IMP-FUT.2PLS	1NSG.INCL.POSS	toponym	stop=ALL	FUT.1A-RT_EXT-hold-FUT.1NSGA,"Let's go Limol, let's get all the way to coconut island. [bamllameya = hold with your hands, or get to the end]",pn.	TAM ptcl.	TAM ptcl.	vi.	pron.	n.	v.	n. cl.	vt.,se-ss044-kangge2016a,5,,kit,							e-all	,30525,Limoll	ngase	nga	uta-mom	iba	Parade	llätt=e	b-a-mällam-eya,36825,"Let's go Limol, let's get all the way to coconut island. [bamllameya = hold with your hands, or get to the end]",toponym	let us	imminently	go.fut.2plS	1.incl.nsg.poss	toponym	stop		hold.fut.1nsgA>sgP,,da38255f-4afd-4eda-89cf-58e9112475e6,							1	12,,2dce139b-5200-49b9-b84f-d775d20dc00a,pn.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	pers. pron.	n.	covi.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (IV)-v.:TAM+Agent,pn.	TAM ptcl.	TAM ptcl.	vi.	pron.	n.	v.	n. cl.	vt.,5,,Llimoll ngase nga utamom iba Parade llätt e bamllameya.,+dial. var. of								
se-ss044-kangge2016a-6,Llimoll ngase nga utamom iba Parade llätt e bamllameya.,Llimoll	ngase	nga	uta-mom	iba	Parade	llätt=e	b-a-mllam-eya,toponym	HORT	IM_FUT	go.IMP-FUT.2PLS	1NSG.INCL.POSS	toponym	stop=ALL	FUT.1A-RT_EXT-hold-FUT.1NSGA,"Let's go Limol, let's get all the way to coconut island. [bamllameya = hold with your hands, or get to the end]",pn.	TAM ptcl.	TAM ptcl.	vi.	pron.	n.	v.	n. cl.	vt.,se-ss044-kangge2016a,6,,kit,							e-all	,36825,Limoll	ngase	nga	uta-mom	iba	Parade	llätt=e	b-a-mällam-eya,43525,"Let's go Limol, let's get all the way to coconut island. [bamllameya = hold with your hands, or get to the end]",toponym	let us	imminently	go.fut.2plS	1.incl.nsg.poss	toponym	stop		hold.fut.1nsgA>sgP,,f8ba1347-2c09-47cb-98e3-bcb62b83786f,							1	12,,2dce139b-5200-49b9-b84f-d775d20dc00a,pn.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	pers. pron.	n.	covi.	n. cl.	v.:TM + Patient-v.:Patient-vt.  (IV)-v.:TAM+Agent,pn.	TAM ptcl.	TAM ptcl.	vi.	pron.	n.	v.	n. cl.	vt.,6,,Llimoll ngase nga utamom iba Parade llätt e bamllameya.,+dial. var. of								
se-ss044-kangge2016a-7,Llabo ngase nga utamom ngase nga uta iba Karama melem ttamänmeny dan.,lla=bo	ngase	nga	uta-mom	ngase	nga	uta	iba	Karama	melem	ttamän=meny	da=n,person=3SG.POSS	HORT	IM_FUT	go.IMP-FUT.2PLS	HORT	IM_FUT	go.IMP	1NSG.INCL.POSS	toponym	work	finish=PRIV	MED.DEM=COP.PRS.SG,"Let's go people, our swamp work is not finished.",n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.	TAM ptcl.	TAM ptcl.	v.	pron.	pn.	n.	adj.	n. cl.	cop.	v. cl.,se-ss044-kangge2016a,7,,kit,,43525,lla=bo	ngase	nga	uta-mom	ngase	nga	uta	iba	Karama	melem	ttamän=meny	da=n,58125,"Let's go people, our swamp work is not finished.",person=3.sg.poss		let us	imminently	go.fut.2plS	let us	imminently	go.fut.2sgS	1.incl.nsg.poss	Karama	work	finish-priv		cop.prs.sgS	,,3520b8ad-8692-4acf-af50-1841102fd567,													4	,,2dce139b-5200-49b9-b84f-d775d20dc00a,n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	TAM ptcl.	TAM ptcl.	vi.	pers. pron.	pn.	n.	vt.  (irr)	n. cl.	nom. dem.	v. cl.,n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.	TAM ptcl.	TAM ptcl.	v.	pron.	pn.	n.	adj.	n. cl.	cop.	v. cl.,7,,Llabo ngase nga utamom ngase nga uta iba Karama melem ttamänmeny dan.,
se-ss044-kangge2016a-8,Llimoll ngase nga utamom Karama melem ttamänmeny dan.,Llimoll	ngase	nga	uta-mom	Karama	melem	ttamän=meny	da=n,toponym	HORT	IM_FUT	go.IMP-FUT.2PLS	toponym	work	finish=PRIV	MED.DEM=COP.PRS.SG,"Let's go Limol, our swamp work is not finished.",pn.	TAM ptcl.	TAM ptcl.	vi.	pn.	n.	adj.	n. cl.	cop.	v. cl.,se-ss044-kangge2016a,8,,kit,,58125,Limoll	ngase	nga	uta-mom	Karama	melem	ttamän=meny	da=n,65125,"Let's go Limol, our swamp work is not finished.",toponym	let us	imminently	go.fut.2plS	Karama	work	finish-priv		cop.prs.sgS	,,5a50bdfc-6293-4761-afa9-870757e21c08,								4	,,2dce139b-5200-49b9-b84f-d775d20dc00a,pn.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	pn.	n.	vt.  (irr)	n. cl.	nom. dem.	v. cl.,pn.	TAM ptcl.	TAM ptcl.	vi.	pn.	n.	adj.	n. cl.	cop.	v. cl.,8,,Llimoll ngase nga utamom Karama melem ttamänmeny dan.,+dial. var. of									
se-ss044-kangge2016a-9,Llabo ngase nga utamom ngase nga uta Karama melem ttamänmeny dan.,lla=bo	ngase	nga	uta-mom	ngase	nga	uta	Karama	melem	ttamän=meny	da=n,person=3SG.POSS	HORT	IM_FUT	go.IMP-FUT.2PLS	HORT	IM_FUT	go.IMP	toponym	work	finish=PRIV	MED.DEM=COP.PRS.SG,"Let's go people, our swamp work is not finished.",n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.	TAM ptcl.	TAM ptcl.	v.	pn.	n.	adj.	n. cl.	cop.	v. cl.,se-ss044-kangge2016a,9,,kit,,65125,lla=bo	ngase	nga	uta-mom	ngase	nga	uta	Karama	melem	ttamän=meny	da=n,72125,"Let's go people, our swamp work is not finished.",person=3.sg.poss		let us	imminently	go.fut.2plS	let us	imminently	go.fut.2sgS	Karama	work	finish-priv		cop.prs.sgS	,,b88c3097-0c77-4bc9-8b4e-85b08cc4293e,												4	,,2dce139b-5200-49b9-b84f-d775d20dc00a,n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	TAM ptcl.	TAM ptcl.	vi.	pn.	n.	vt.  (irr)	n. cl.	nom. dem.	v. cl.,n.	pron. cl.	TAM ptcl.	TAM ptcl.	vi.	TAM ptcl.	TAM ptcl.	v.	pn.	n.	adj.	n. cl.	cop.	v. cl.,9,,Llabo ngase nga utamom ngase nga uta Karama melem ttamänmeny dan.,
se-ss044-kangge2016a-10,Llimoll ngase nga utamom Karama melem ttamänmeny dan.,Llimoll	ngase	nga	uta-mom	Karama	melem	ttamän=meny	da=n,toponym	HORT	IM_FUT	go.IMP-FUT.2PLS	toponym	work	finish=PRIV	MED.DEM=COP.PRS.SG,"Let's go Limol, our swamp work is not finished.",pn.	TAM ptcl.	TAM ptcl.	vi.	pn.	n.	adj.	n. cl.	cop.	v. cl.,se-ss044-kangge2016a,10,,kit,,72125,Limoll	ngase	nga	uta-mom	Karama	melem	ttamän=meny	da=n,78525,"Let's go Limol, our swamp work is not finished.",Limol	let us	imminently	go.fut.2plS	Karama	work	finish-priv		cop.prs.sgS	,,44cdce8a-c07c-4394-bacd-e8bf528b06b3,								4	,,2dce139b-5200-49b9-b84f-d775d20dc00a,pn.	TAM ptcl.	TAM ptcl.	vi.-v.:TAM+Agent	pn.	n.	vt.  (irr)	n. cl.	nom. dem.	v. cl.,pn.	TAM ptcl.	TAM ptcl.	vi.	pn.	n.	adj.	n. cl.	cop.	v. cl.,10,,Llimoll ngase nga utamom Karama melem ttamänmeny dan.,+dial. var. of									
