ID,Media_Type,Download_URL
eaf01,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_PN001/essences/1262898
wav01,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_PN001/essences/1217669
eaf02,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN012/essences/1263222
wav02,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN012/essences/1212130
eaf03,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SN005/essences/1263037
wav03,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SN005/essences/1219334
eaf04,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN034/essences/1263242
wav04,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN034/essences/1212181
eaf05,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN046/essences/1263196
wav05,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN046/essences/1212216
eaf06,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_PN026/essences/1262885
wav06,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_PN026/essences/1218243
eaf07,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SN033/essences/1262921
wav07,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SN033/essences/1219420
eaf08,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS011/essences/1263282
wav08,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS011/essences/1219638
eaf09,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN021/essences/1262960
wav09,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN021/essences/1212104
eaf10,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS032/essences/1263418
wav10,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS032/essences/1219907
flex11,text/xml,https://catalog.paradisec.org.au/collections/LSNG08/items/WE_PN003/essences/1263301
eaf12,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN018/essences/1263044
wav12,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN018/essences/1212106
eaf13,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN006/essences/1262919
wav13,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN006/essences/1212105
eaf14,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS024/essences/1263398
wav14,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS024/essences/1219845
eaf15,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN018/essences/1263044
wav15,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN018/essences/1212106
eaf16,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS044/essences/1263344
wav16,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS044/essences/1219876
eaf17,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN025/essences/1263073
wav17,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN025/essences/1212202
eaf18,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN044/essences/1263089
wav18,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN044/essences/1212195
eaf19,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN049/essences/1262973
wav19,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/RE_EN049/essences/1212152
eaf20,application/eaf+xml,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS039/essences/1263289
wav20,audio/wav,https://catalog.paradisec.org.au/collections/LSNG08/items/SE_SS039/essences/1219880
